Section,Field Name,Field Description
FORMDSUBMISSION,EDGAR.,
FORMDSUBMISSION,OVER100PERSONSFLAG,"Yes, if over 100 persons. ALPHANUMERIC 5 Yes"
FORMDSUBMISSION,OVER100ISSUERFLAG Y,"es, if over 100 issuers. ALPHANUMERIC 5 Yes"
FORMDSUBMISSION,5.2  ISSUERS,
ISSUERS,ACCESSIONNUMBER,The 20-character string formed ALPHANUMERIC 20 No *
ISSUERS,IS_PRIMARYISSUER_FLAG,"Yes, if primary issuer; No if not ALPHANUMERIC 3 No"
ISSUERS,ISSUER_SEQ_KEY,Issuer index key. NUMERIC 38 No *
ISSUERS,CIK,Central index key (CIK) of ALPHANUMERIC 10 No
ISSUERS,ENTITYNAME,Name of Issuer ALPHANUMERIC 150 Yes
ISSUERS,STREET,Street Address 1 ALPHANUMERIC 40 No
ISSUERS,STREET,Street Address 2 ALPHANUMERIC 40 Yes
ISSUERS,CITY,City ALPHANUMERIC 30 No
ISSUERS,STATEORCOUNTRY,State/Province/Country ALPHANUMERIC 255 No
ISSUERS,STATEORCOUNTRYDESCRIP,TION Full name of the country or ALPHANUMERIC 50 Yes
ISSUERS,ZIPCODE,Zip/Postal Code ALPHANUMERIC 10 No
ISSUERS,ISSUERPHONENUMBER,Phone No. of Issuer ALPHANUMERIC 20 No
ISSUERS,JURISDICTIONOFINC,Jurisdiction of ALPHANUMERIC 50 Yes
ISSUERS,ISSUER_PREVIOUSNAME_,Issuer Previous Name 1 ALPHANUMERIC 150 Yes
ISSUERS,ISSUER_PREVIOUSNAME_,Issuer Previous Name 2 ALPHANUMERIC 150 Yes
ISSUERS,ISSUER_PREVIOUSNAME_,Issuer Previous Name 3 ALPHANUMERIC 150 Yes
ISSUERS,EDGAR_PREVIOUSNAME_,EDGAR Previous Name 1 ALPHANUMERIC 150 Yes
ISSUERS,EDGAR_PREVIOUSNAME_,EDGAR Previous Name 2 ALPHANUMERIC 150 Yes
ISSUERS,EDGAR_PREVIOUSNAME_,EDGAR Previous Name 3 ALPHANUMERIC 150 Yes
ISSUERS,ENTITYTYPE,Entity type ALPHANUMERIC 255 No
ISSUERS,ENTITYTYPEOTHERDESC,Description of Entity Type when ALPHANUMERIC 255 Yes
ISSUERS,YEAROFINC_TIMESPAN_CH,OICE Year of ALPHANUMERIC 150 No
ISSUERS,YEAROFINC_VALUE_ENTER,ED Year of Incorporation value ALPHANUMERIC 4 Yes
ISSUERS,5.3  OFFERING,
OFFERING,ACCESSIONNUMBER,The 20-character string ALPHANUMERIC 20 No *
OFFERING,INDUSTRYGROUPTYPE,Type of Industry ALPHANUMERIC 255 No
OFFERING,INVESTMENTFUNDTYPE,Type of Securities ALPHANUMERIC 255 Yes
OFFERING,IS40ACT,Flag to indicate ALPHANUMERIC 5 Yes
OFFERING,REVENUERANGE,Revenue Range ALPHANUMERIC 255 Yes
OFFERING,AGGREGATENETASSETVAL,UERANGE Aggregate Net Asset ALPHANUMERIC 255 Yes
OFFERING,FEDERALEXEMPTIONS_IT,EMS_LIST List of exemptions ALPHANUMERIC 1000 Yes
OFFERING,ISAMENDMENT,New Notice ALPHANUMERIC 5 No
OFFERING,PREVIOUSACCESSIONNUM,BER Previous Accession ALPHANUMERIC 20 Yes
OFFERING,SALE_DATE,Sale Date ALPHANUMERIC 255 Yes
OFFERING,YETTOOCCUR,First Sale Yet to Occur ALPHANUMERIC 5 Yes
OFFERING,MORETHANONEYEAR,Duration of offering ALPHANUMERIC 5 No
OFFERING,ISEQUITYTYPE,Equity ALPHANUMERIC 5 Yes
OFFERING,ISDEBTTYPE,Debt ALPHANUMERIC 5 Yes
OFFERING,ISOPTIONTOACQUIRETYP,"E Option, Warrant or ALPHANUMERIC 5 Yes"
OFFERING,ISSECURITYTOBEACQUIR,EDTYPE Security to be Acquired ALPHANUMERIC 5 Yes
OFFERING,ISPOOLEDINVESTMENTFU,NDTYPE Pooled Investment ALPHANUMERIC 5 Yes
OFFERING,ISTENANTINCOMMONTYPE,Tenant-in-Common ALPHANUMERIC 5 Yes
OFFERING,ISMINERALPROPERTYTYP,E Mineral Property ALPHANUMERIC 5 Yes
OFFERING,ISOTHERTYPE,Other (describe) ALPHANUMERIC 5 Yes
OFFERING,DESCRIPTIONOFOTHERTY,PE Description of Pooled ALPHANUMERIC 255 Yes
OFFERING,ISBUSINESSCOMBINATIO,NTRANS Is this offering being ALPHANUMERIC 5 No
OFFERING,BUSCOMBCLARIFICATION,OFRESP Clarification of ALPHANUMERIC 255 Yes
OFFERING,MINIMUMINVESTMENTACC,EPTED Minimum investment NUMERIC 19 No
OFFERING,OVER100RECIPIENTFLAG,Over 100 recipients ALPHANUMERIC 5 Yes
OFFERING,TOTALOFFERINGAMOUNT,Total offering amount ALPHANUMERIC 12 No
OFFERING,TOTALAMOUNTSOLD,Total amount sold NUMERIC 12 No
OFFERING,TOTALREMAINING,Total remaining to be ALPHANUMERIC 12 No
OFFERING,SALESAMTCLARIFICATIO,NOFRESP Clarification of ALPHANUMERIC 255 Yes
OFFERING,HASNONACCREDITEDINVE,STORS Select if securities in ALPHANUMERIC 5 No
OFFERING,NUMBERNONACCREDITEDI,NVESTORS Number of such non- NUMERIC 19 Yes
OFFERING,TOTALNUMBERALREADYIN,VESTED Regardless of whether NUMERIC 19 No
OFFERING,SALESCOMM_DOLLARAMOU,"NT Sales Commissions, NUMERIC 12 No"
OFFERING,USD,
OFFERING,SALESCOMM_ISESTIMATE,Estimate ALPHANUMERIC 5 Yes
OFFERING,FINDERSFEE_DOLLARAMO,UNT Finders Fee USD NUMERIC 12 No
OFFERING,FINDERSFEE_ISESTIMAT,E Estimate ALPHANUMERIC 5 Yes
OFFERING,FINDERFEECLARIFICATI,ONOFRESP Clarification of ALPHANUMERIC 255 Yes
OFFERING,GROSSPROCEEDSUSED_DO,LLARAMOUNT Provide the amount of NUMERIC 12 No
OFFERING,GROSSPROCEEDSUSED_IS,ESTIMATE Estimate ALPHANUMERIC 5 Yes
OFFERING,GROSSPROCEEDSUSED_CL,AROFRESP Clarification of ALPHANUMERIC 255 Yes
OFFERING,AUTHORIZEDREPRESENTA,TIVE I also am a duly ALPHANUMERIC 5 Yes
OFFERING,5.4  RECIPIENTS,
RECIPIENTS,ACCESSIONNUMBER,The 20-character string ALPHANUMERIC 20 No *
RECIPIENTS,RECIPIENT_SEQ_KEY,Recipient index key. NUMERIC 38 No *
RECIPIENTS,RECIPIENTNAME,Recipient ALPHANUMERIC 150 No
RECIPIENTS,RECIPIENTCRDNUMBER,Recipient CRD Number ALPHANUMERIC 9 No
RECIPIENTS,ASSOCIATEDBDNAME,(Associated) Broker or Dealer ALPHANUMERIC 150 No
RECIPIENTS,ASSOCIATEDBDCRDNUMBE,R (Associated) Broker or Dealer ALPHANUMERIC 9 No
RECIPIENTS,STREET,Street Address 1 ALPHANUMERIC 40 No
RECIPIENTS,STREET,Street Address 2 ALPHANUMERIC 40 Yes
RECIPIENTS,CITY,City ALPHANUMERIC 30 No
RECIPIENTS,STATEORCOUNTRY,State/Province/Country ALPHANUMERIC 255 No
RECIPIENTS,STATEORCOUNTRYDESCRI,PTION Full name of the country or ALPHANUMERIC 50 Yes
RECIPIENTS,ZIPCODE,Zip/Postal Code ALPHANUMERIC 10 No
RECIPIENTS,STATES_OR_VALUE_LIST,List of States or Countries of ALPHANUMERIC 1000 Yes
RECIPIENTS,DESCRIPTIONS_LIST,Full name of States or ALPHANUMERIC 1000 Yes
RECIPIENTS,FOREIGNSOLICITATION,Selected if the recipient has ALPHANUMERIC 5 Yes
RECIPIENTS,5.5  RELATEDPERSONS,
RELATEDPERSONS,ACCESSIONNUMBER,The 20-character string ALPHANUMERIC 20 No *
RELATEDPERSONS,RELATEDPERSON_SEQ_KE,Y Related person index key. NUMERIC 38 No *
RELATEDPERSONS,FIRSTNAME,First Name ALPHANUMERIC 150 No
RELATEDPERSONS,MIDDLENAME,Middle Name ALPHANUMERIC 150 Yes
RELATEDPERSONS,LASTNAME,Last Name ALPHANUMERIC 150 No
RELATEDPERSONS,STREET,Street Address 1 ALPHANUMERIC 40 No
